timestamp,frame,processing_ms,fps,cpu_percent,ram_mb,num_hands
2025-12-01T20:57:55.009155,144,24.79,34.37,17.1,12515.3,0
2025-12-01T20:57:55.047398,145,34.399,26.15,18.2,12520.2,0
2025-12-01T20:57:55.078052,146,26.677,32.77,17.1,12520.6,0
2025-12-01T20:57:55.113696,147,31.144,28.02,16.7,12520.6,0
2025-12-01T20:57:55.151875,148,33.962,26.15,26.7,12524.6,0
2025-12-01T20:57:55.220082,149,62.838,14.69,53.7,12543.4,0
2025-12-01T20:57:55.262557,150,38.12,23.43,31.4,12534.6,0
2025-12-01T20:57:55.299830,151,33.327,26.85,20.5,12534.9,0
2025-12-01T20:57:55.343526,152,39.561,22.92,19.2,12534.7,0
2025-12-01T20:57:55.381818,153,34.046,26.11,18.2,12534.9,0
2025-12-01T20:57:55.425568,154,39.623,22.82,17.6,12534.9,0
2025-12-01T20:57:55.461949,155,32.395,27.48,18.6,12534.9,0
2025-12-01T20:57:55.502333,156,36.063,24.97,16.7,12535.2,0
2025-12-01T20:57:55.543669,157,36.237,24.01,16.3,12535.4,0
2025-12-01T20:57:55.581389,158,33.644,26.53,17.4,12535.4,0
2025-12-01T20:57:55.623417,159,37.893,23.78,16.0,12535.5,0
2025-12-01T20:57:55.657711,160,29.769,29.15,19.0,12535.5,0
2025-12-01T20:57:55.693103,161,31.083,28.33,19.0,12535.5,0
2025-12-01T20:57:55.728777,162,31.069,27.97,19.0,12536.2,0
2025-12-01T20:57:55.773025,163,39.905,22.72,25.5,12536.7,0
2025-12-01T20:57:55.809642,164,28.745,27.11,27.3,12536.2,0
2025-12-01T20:57:55.846222,165,29.231,27.39,18.6,12536.5,0
2025-12-01T20:57:55.894935,166,42.772,20.51,17.2,12536.7,0
2025-12-01T20:57:55.936046,167,34.751,24.33,16.7,12536.8,0
2025-12-01T20:57:55.971976,168,30.874,27.88,16.7,12523.0,0
2025-12-01T20:57:56.008274,169,30.676,27.59,25.0,12523.7,0
2025-12-01T20:57:56.046787,170,33.001,25.97,15.6,12523.7,0
2025-12-01T20:57:56.090613,171,37.09,22.82,17.3,12523.7,0
2025-12-01T20:57:56.134561,172,36.948,22.68,17.6,12523.9,0
2025-12-01T20:57:56.175478,173,34.297,24.5,18.7,12524.1,0
2025-12-01T20:57:56.215706,174,32.871,24.92,18.8,12524.1,0
2025-12-01T20:57:56.264934,175,40.394,20.26,20.3,12524.1,0
2025-12-01T20:57:56.309144,176,37.438,22.63,19.2,12524.1,0
2025-12-01T20:57:56.349770,177,33.4,24.62,14.9,12524.1,0
2025-12-01T20:57:56.400728,178,44.419,19.65,16.9,12519.3,0
2025-12-01T20:57:56.445727,179,37.9,22.2,18.9,12519.3,0
2025-12-01T20:57:56.491901,180,38.719,21.61,18.2,12519.5,0
2025-12-01T20:57:56.531572,181,33.616,25.18,17.4,12519.0,0
2025-12-01T20:57:56.589672,182,52.237,17.25,18.8,12519.2,0
2025-12-01T20:57:56.633075,183,37.499,23.06,14.0,12519.2,0
2025-12-01T20:57:56.667285,184,29.525,29.09,17.1,12519.2,0
2025-12-01T20:57:56.698464,185,26.977,32.06,16.2,12519.2,0
2025-12-01T20:57:56.724321,186,21.393,38.68,13.3,12519.1,0
2025-12-01T20:57:56.748438,187,19.924,41.46,17.9,12519.1,0
2025-12-01T20:57:56.783082,188,29.65,28.95,14.6,12519.1,0
2025-12-01T20:57:56.822159,189,34.77,25.6,17.0,12519.1,0
2025-12-01T20:57:56.863512,190,36.119,24.19,12.8,12519.1,0
2025-12-01T20:57:56.900193,191,31.566,27.27,15.9,12510.4,0
2025-12-01T20:57:56.929875,192,24.323,33.69,17.6,12509.8,0
2025-12-01T20:57:56.961622,193,27.435,31.61,15.8,12509.7,0
2025-12-01T20:57:56.995566,194,29.133,29.36,15.0,12509.7,0
2025-12-01T20:57:57.030169,195,29.243,28.85,12.5,12510.0,0
2025-12-01T20:57:57.070729,196,35.677,24.74,22.4,12521.1,0
2025-12-01T20:57:57.107646,197,31.454,27.03,16.3,12514.4,0
2025-12-01T20:57:57.140590,198,28.079,30.32,15.0,12514.4,0
2025-12-01T20:57:57.174638,199,29.182,29.36,15.0,12514.4,0
2025-12-01T20:57:57.207817,200,28.407,30.15,19.5,12514.4,0
2025-12-01T20:57:57.239634,201,26.396,31.46,13.5,12514.4,0
2025-12-01T20:57:57.272623,202,28.806,30.21,10.5,12514.4,0
2025-12-01T20:57:57.305340,203,27.848,30.68,17.1,12514.4,0
2025-12-01T20:57:57.341606,204,31.005,27.59,14.3,12514.4,0
2025-12-01T20:57:57.374437,205,27.88,30.41,15.0,12514.4,0
2025-12-01T20:57:57.405477,206,26.075,32.22,13.9,12514.4,0
2025-12-01T20:57:57.439663,207,30.09,29.22,14.3,12514.4,0
2025-12-01T20:57:57.472490,208,28.031,30.51,15.4,12514.4,0
2025-12-01T20:57:57.501941,209,24.686,33.96,14.3,12514.4,0
2025-12-01T20:57:57.537848,210,30.596,27.83,14.3,12514.4,0
2025-12-01T20:57:57.576672,211,33.637,25.78,15.2,12514.4,0
2025-12-01T20:57:57.615974,212,32.127,25.4,17.0,12515.0,0
2025-12-01T20:57:57.658819,213,35.063,23.32,17.0,12515.0,0
2025-12-01T20:57:57.697913,214,34.223,25.61,11.1,12515.4,0
2025-12-01T20:57:57.732706,215,29.507,28.76,17.1,12515.4,0
2025-12-01T20:57:57.768621,216,30.515,27.82,14.3,12515.4,0
2025-12-01T20:57:57.804599,217,31.085,27.77,14.3,12515.4,0
2025-12-01T20:57:57.839389,218,29.938,28.76,16.7,12515.4,0
2025-12-01T20:57:57.876313,219,30.499,27.14,18.2,12515.7,0
2025-12-01T20:57:57.917573,220,36.452,24.21,18.7,12515.0,0
2025-12-01T20:57:57.962485,221,39.508,22.35,20.8,12515.0,0
2025-12-01T20:57:57.998708,222,31.428,27.51,14.0,12515.0,0
2025-12-01T20:57:58.032386,223,28.13,29.69,15.0,12515.0,0
